A0A075B6P5	A0A075B6P5
A0A075B6S6	A0A075B6P5
A0A075B6S6	A0A075B6S6
A0A0C4DH25	A0A075B6P5
A0A0C4DH25	A0A075B6S6
A0A0C4DH25	A0A0C4DH25
A0A0C4DH25	A0A0C4DH73
A0A0C4DH73	A0A075B6P5
A0A0C4DH73	A0A075B6S6
A0A0C4DH73	A0A0C4DH73
A0AVF1	A0AVF1
A0AVF1	Q8N4P2
A0AVF1	Q8NEZ3
A0AVF1	Q8WVS4
A0AVF1	Q9NWB7
A0AVF1	Q9UG01
A0AVT1	A0AVT1
A0AVT1	P0CG47
A0AVT1	P0CG48
A0AVT1	Q9H832
A0FGR8	A0FGR9
A0JLT2	O15379
A0JLT2	O75376
A0JLT2	O95402
A0JLT2	P37231
A0JLT2	Q15648
A0JLT2	Q15788
A0JLT2	Q6P2C8
A0JLT2	Q96EK7
A0JLT2	Q96G25
A0JLT2	Q96RN5
A0JLT2	Q9BYK8
A0JLT2	Q9H204
A0JLT2	Q9NWA0
A0JLT2	Q9NX70
A0JLT2	Q9ULK4
A0JLT2	Q9Y2X0
A0JLT2	Q9Y618
A0JLT2	Q9Y6Q9
A0M8Q6	A0A075B6P5
A0M8Q6	A0A075B6S6
A0M8Q6	A0A0C4DH25
A0M8Q6	A0A0C4DH73
A0M8Q6	A0M8Q6
A0M8Q6	P0CF74
A0M8Q6	P0CG04
A0M8Q6	P0CG05
A0M8Q6	P0CG06
A1A4S6	A1A4S6
A1A4S6	O60229
A1A4S6	O75962
A1A4S6	P10911
A1A4S6	P60953
A1A4S6	P63000
A1A4S6	Q12802
A1A4S6	Q12979
A1A4S6	Q14155
A1A4S6	Q15811
A1A4S6	Q5JSP0
A1A4S6	Q5VST9
A1A4S6	Q5VV41
A1A4S6	Q7L0Q8
A1A4S6	Q7Z628
A1A4S6	Q7Z6J4
A1A4S6	Q8IVF5
A1A4S6	Q8IW93
A1A4S6	Q8IXI1
A1A4S6	Q8IXI2
A1A4S6	Q8N5V2
A1A4S6	Q8TCU6
A1A4S6	Q96DR7
A1A4S6	Q96L33
A1A4S6	Q96M96
A1A4S6	Q96PE2
A1A4S6	Q9H4E5
A1A4S6	Q9NR80
A1A4S6	Q9NR81
A1A4S6	Q9NZN5
A1A4S6	Q9UKW4
A2KUC3	A0A075B6P5
A2KUC3	A0A075B6S6
A2KUC3	A0A0C4DH25
A2KUC3	A0A0C4DH73
A2KUC3	A0M8Q6
A2KUC3	A2KUC3
A2KUC3	A6NGB9
A2KUC3	P0C0L4
A2KUC3	P0C0L5
A2KUC3	P0CF74
A2KUC3	P0CG04
A2KUC3	P0CG05
A2KUC3	P0CG06
A2KUC3	P29353
A2KUC3	P46108
A2KUC3	P60953
A2KUC3	P63000
A2KUC3	Q13191
A2KUC3	Q14571
A2KUC3	Q14643
A2KUC3	Q5NV61
A2KUC3	Q5NV62
A2KUC3	Q5NV64
A2KUC3	Q5NV65
A2KUC3	Q5NV66
A2KUC3	Q5NV67
A2KUC3	Q5NV68
A2KUC3	Q5NV69
A2KUC3	Q5NV75
A2KUC3	Q5NV79
A2KUC3	Q5NV80
A2KUC3	Q5NV81
A2KUC3	Q5NV82
A2KUC3	Q5NV83
A2KUC3	Q5NV84
A2KUC3	Q5NV85
A2KUC3	Q5NV86
A2KUC3	Q5NV87
A2KUC3	Q5NV89
A2KUC3	Q5NV90
A2KUC3	Q5NV91
A2KUC3	Q5NV92
A2KUC3	Q7L576
A2KUC3	Q8IZP0
A2KUC3	Q8TF74
A2KUC3	Q8WUW1
A2KUC3	Q8WV28
A2KUC3	Q8WWV6
A2KUC3	Q96F07
A2KUC3	Q9BWP8
A2KUC3	Q9GZY6
A2KUC3	Q9UKW4
A2KUC3	Q9UQB8
A2KUC3	Q9Y6Z7
A2NJV5	A0A075B6P5
A2NJV5	A0A075B6S6
A2NJV5	A0A0C4DH25
A2NJV5	A0A0C4DH73
A2NJV5	A0M8Q6
A2NJV5	A2KUC3
A2NJV5	A2NJV5
A2NJV5	A2NXD2
A2NJV5	A6NGB9
A2NJV5	P0C0L4
